,NO OF ITERATIONS,COST,BIAS HISTORY,WEIGHT_HISTORY
14,1400,0.09429755102122181,-0.3657093875644825,"[ 0.41641672  0.38581267  0.41118729  0.41371451  0.15522345  0.12694012
  0.32223204  0.42482912  0.10763654 -0.1924375   0.38350839  0.00524777
  0.3236819   0.34751392  0.00681335 -0.12894205 -0.08915248  0.06381683
 -0.07989489 -0.20935071  0.5008021   0.47519649  0.4790597   0.47334861
  0.35021591  0.2135579   0.32086956  0.45194267  0.31808038  0.1098516 ]"
15,1500,0.09254753739534524,-0.37281289242746063,"[ 0.4231376   0.39620523  0.41758874  0.42098189  0.1579665   0.12377915
  0.32895586  0.4331939   0.10805328 -0.19869241  0.39441716  0.00545607
  0.33146203  0.35629041  0.00957826 -0.13761003 -0.09151916  0.06441227
 -0.08338404 -0.21670255  0.51142939  0.48966205  0.48857116  0.48367684
  0.36098074  0.21437324  0.32841288  0.46167669  0.32689571  0.1118005 ]"
16,1600,0.09097273422462626,-0.3793089279881802,"[ 0.42936702  0.40595274  0.42351148  0.42774761  0.16054766  0.12054504
  0.33538145  0.44109384  0.10834637 -0.2046496   0.40487785  0.00553981
  0.33887258  0.36464945  0.01226774 -0.14602914 -0.09361894  0.06506421
 -0.0867944  -0.22372306  0.52145851  0.50337906  0.4975173   0.49342708
  0.37128153  0.21498991  0.33568666  0.47093177  0.33532741  0.11366969]"
17,1700,0.0895461802284885,-0.3852686849944235,"[ 0.43516324  0.41511631  0.4290128   0.43406996  0.16298543  0.11725624
  0.3415422   0.44858293  0.10853299 -0.21033787  0.41493704  0.0055093
  0.34595427  0.37263602  0.01488536 -0.1542193  -0.09548436  0.06576709
 -0.09013031 -0.23044818  0.53095641  0.51641723  0.50596237  0.50266339
  0.38116166  0.21543581  0.3427185   0.47976083  0.34341553  0.11546824]"
18,1800,0.08824633705016349,-0.39075197302462505,"[ 0.44057461  0.42374878  0.43414027  0.43999747  0.16529516  0.11392718
  0.34746591  0.45570609  0.1086274  -0.21578161  0.42463404  0.00537418
  0.3527412   0.38028799  0.01743485 -0.16219783 -0.09714251  0.06651608
 -0.09339539 -0.23690796  0.53997903  0.52883681  0.51395999  0.51143947
  0.39065806  0.21573371  0.34953129  0.48820793  0.35119385  0.11720365]"
19,1900,0.08705576847798734,-0.3958094969642068,"[ 0.44564172  0.43189619  0.43893373  0.44557105  0.16748972  0.11056926
  0.35317589  0.46250106  0.10864159 -0.22100173  0.43400237  0.00514338
  0.35926221  0.38763752  0.01991994 -0.16997989 -0.09861626  0.06730694
 -0.09659276 -0.24312785  0.54857365  0.54069035  0.52155533  0.51980077
  0.39980247  0.21590235  0.35614428  0.49631019  0.35869116  0.1188822 ]"
20,2000,0.08596019201011303,-0.4004845929529914,"[ 0.45039901  0.43959897  0.44342695  0.45082546  0.16957998  0.10719153
  0.35869192  0.46899986  0.10858565 -0.22601629  0.44307082  0.0048251
  0.36554192  0.39471219  0.02234426 -0.17757888 -0.09992504  0.06813591
 -0.0997252  -0.24912957  0.55678058  0.55202397  0.52878688  0.5277861
  0.40862241  0.21595732  0.36257385  0.50409916  0.36593221  0.12050921]"
21,2100,0.08494778486648762,-0.4048145710831708,"[ 0.45487592  0.44689282  0.44764877  0.45579051  0.17157522  0.10380123
  0.36403096  0.47522988  0.10846816 -0.23084107  0.45186433  0.0044269
  0.37160153  0.40153582  0.02471124 -0.18500664 -0.10108553  0.06899965
 -0.10279514 -0.25493184  0.5646345   0.56287846  0.53568764  0.53542895
  0.41714193  0.21591175  0.36883405  0.51160191  0.37293845  0.12208924]"
22,2200,0.08400866759238942,-0.4088317671858838,"[ 0.45909782  0.45380946  0.45162403  0.46049199  0.17348341  0.10040417
  0.3692076   0.48121475  0.10829645 -0.23548989  0.46040465  0.00395567
  0.37745938  0.40812913  0.02702414 -0.19227378 -0.10211214  0.06989516
 -0.10580483 -0.26055092  0.57216547  0.57329005  0.5422862   0.54275835
  0.4253822   0.21577676  0.37493706  0.5188419   0.3797286   0.12362624]"
23,2300,0.08313451397748962,-0.4125643761772204,"[ 0.46308677  0.4603772   0.45537428  0.46495231  0.17531143  0.09700506
  0.37423454  0.48697499  0.10807682 -0.239975    0.46871086  0.00341774
  0.38313149  0.41451026  0.02928597 -0.19938978 -0.10301741  0.07081975
 -0.10875633 -0.26600101  0.57939973  0.58329113  0.54860747  0.5497997
  0.43336195  0.21556186  0.38089355  0.52583954  0.3863191   0.12512363]"
